CATEGORIA,ELEMENTO,CANTIDAD,UBICACION,LINK_REFERENCIA,OBSERVACIONES
Condensador Tantalio,Condensador De Tantalio 0.1 Uf 35V,60,Nan,SIN ENLACE DE REFERENCIA,
Condensador Tantalio,Capacitor Tantalio 0.68Uf 35V,55,Nan,SIN ENLACE DE REFERENCIA,
Condensador Tantalio,Capacitor Tantalio 68Uf,55,Nan,SIN ENLACE DE REFERENCIA,
Condensador Tantalio,Capacitor Tantalio 10Uf 35V,60,Nan,SIN ENLACE DE REFERENCIA,
Conectores,Conectores Db9 Hembra Con Carcasa Plastica ,0,Nan,SIN ENLACE DE REFERENCIA,
Conectores,Conectores Db9 Macho Con Carcasa Plastica ,0,Nan,SIN ENLACE DE REFERENCIA,
Conectores,Conector Jack 5.5X2.1 Mm Macho A Bornera Block 2P,22,Nan,https://www.vistronica.com/conectores-cables-y-switches/conector-jack-2-1mm-macho-a-bornera-block-2p--detail.html,
Conectores,Conector Jack 5.5X2.1Mm Hembra A Bornera Block 2P,22,Nan,https://www.vistronica.com/conectores-cables-y-switches/conector-jack-2-1mm-hembra-a-bornera-block-2p--detail.html,
Contador,Contador 74Hc161,20,Nan,SIN ENLACE DE REFERENCIA,
Contador,Contador De Decadas 74Ls90,20,Nan,SIN ENLACE DE REFERENCIA,
Convertidor Dc-Dc,Convertidor Dc-Dc Boost Xl6009,20,Nan,https://www.vistronica.com/#q=XL6009&from_user=&page=0&refinements=%5B%5D&numerics_refinements=%7B%7D&index_name=%22prestashop1763_all_es%22,
Convertidor Dc-Dc,Convertidor Dc-Dc Buck Lm2596 3A,5,Nan,https://www.vistronica.com/fuente-de-voltaje/conversores-dc-dc/convertidor-dc-dc-buck-lm2596-3a-detail.html,
Cristal,Cristal – Oscilador De 16 Mhz Tht,15,Nan,https://www.vistronica.com/componentes-activos/osciladores/cristal-oscilador-de-16-mhz-tht-detail.html,
Cristal,Cristal – Oscilador De 4 Mhz Tht,15,Nan,https://www.vistronica.com/componentes-activos/osciladores/cristal-oscilador-de-4-mhz-tht-detail.html,
Cristal,Cristal 32.768Khz,10,Nan,https://www.didacticaselectronicas.com.co/shop/cr-32-768-cristal-32-768khz-tubo-2686?search=Cristal+32.768Khz&order=name+asc#attr=,
Decodificador,Decodificador Bcd A 7 Seg. 74Ls47,19,Nan,https://www.vistronica.com/componentes-activos/familias-logicas/decodificador-de-bcd-a-7-segmentos-74ls47-detail.html,
